"category","sub_category","aggregation_date","millions_of_dollar","pipeline_exc_datetime"
"Cereals and bakery products","Bakery products","2020-03-01","115310","2024-07-02"
"Cereals and bakery products","Bakery products","2020-07-01","103565","2024-07-02"
"Cereals and bakery products","Bakery products","2020-05-01","103401","2024-07-02"
"Cereals and bakery products","Bakery products","2019-08-01","94688","2024-07-02"
"Cereals and bakery products","Bakery products","2019-07-01","94461","2024-07-02"
"Cereals and bakery products","Bakery products","2019-10-01","93915","2024-07-02"
"Cereals and bakery products","Bakery products","2018-11-01","92929","2024-07-02"
"Cereals and bakery products","Bakery products","2018-10-01","92710","2024-07-02"
"Cereals and bakery products","Bakery products","2018-08-01","92557","2024-07-02"
"Cereals and bakery products","Bakery products","2017-12-01","91171","2024-07-02"
"Cereals and bakery products","Bakery products","2017-11-01","89556","2024-07-02"
"Cereals and bakery products","Bakery products","2017-10-01","88817","2024-07-02"
"Cereals and bakery products","Bakery products","2016-12-01","86722","2024-07-02"
"Cereals and bakery products","Bakery products","2016-11-01","86496","2024-07-02"
"Cereals and bakery products","Bakery products","2016-10-01","86375","2024-07-02"
"Cereals and bakery products","Bakery products","2015-12-01","85548","2024-07-02"
"Cereals and bakery products","Bakery products","2015-09-01","85099","2024-07-02"
"Cereals and bakery products","Bakery products","2015-11-01","84787","2024-07-02"
"Cereals and bakery products","Bakery products","2014-12-01","85170","2024-07-02"
"Cereals and bakery products","Bakery products","2014-11-01","84155","2024-07-02"
"Cereals and bakery products","Bakery products","2014-10-01","83791","2024-07-02"
"Cereals and bakery products","Bakery products","2013-12-01","81983","2024-07-02"
"Cereals and bakery products","Bakery products","2013-02-01","81384","2024-07-02"
"Cereals and bakery products","Bakery products","2013-03-01","81299","2024-07-02"
"Cereals and bakery products","Bakery products","2012-07-01","80962","2024-07-02"
"Cereals and bakery products","Bakery products","2012-10-01","80840","2024-07-02"
"Cereals and bakery products","Bakery products","2012-06-01","80768","2024-07-02"
"Cereals and bakery products","Bakery products","2011-08-01","80815","2024-07-02"
"Cereals and bakery products","Bakery products","2011-07-01","80693","2024-07-02"
"Cereals and bakery products","Bakery products","2011-10-01","80659","2024-07-02"
"Cereals and bakery products","Bakery products","2009-01-01","77204","2024-07-02"
"Cereals and bakery products","Bakery products","2009-02-01","76768","2024-07-02"
"Cereals and bakery products","Bakery products","2009-03-01","76766","2024-07-02"
"Cereals and bakery products","Bakery products","2010-11-01","76709","2024-07-02"
"Cereals and bakery products","Bakery products","2010-02-01","76579","2024-07-02"
"Cereals and bakery products","Bakery products","2010-12-01","76141","2024-07-02"
"Cereals and bakery products","Bakery products","2008-07-01","77500","2024-07-02"
"Cereals and bakery products","Bakery products","2008-08-01","77459","2024-07-02"
"Cereals and bakery products","Bakery products","2008-05-01","77355","2024-07-02"
"Cereals and bakery products","Bakery products","2007-12-01","75442","2024-07-02"
"Cereals and bakery products","Bakery products","2007-11-01","75122","2024-07-02"
"Cereals and bakery products","Bakery products","2007-10-01","73910","2024-07-02"
"Cereals and bakery products","Bakery products","2006-12-01","71612","2024-07-02"
"Cereals and bakery products","Bakery products","2006-10-01","71140","2024-07-02"
"Cereals and bakery products","Bakery products","2006-11-01","70644","2024-07-02"
"Cereals and bakery products","Bakery products","2005-12-01","69696","2024-07-02"
"Cereals and bakery products","Bakery products","2005-10-01","69013","2024-07-02"
"Cereals and bakery products","Bakery products","2005-11-01","68912","2024-07-02"
"Cereals and bakery products","Bakery products","2004-12-01","66611","2024-07-02"
"Cereals and bakery products","Bakery products","2004-11-01","65823","2024-07-02"
"Cereals and bakery products","Bakery products","2004-09-01","65411","2024-07-02"
"Cereals and bakery products","Bakery products","2003-08-01","64482","2024-07-02"
"Cereals and bakery products","Bakery products","2003-07-01","64230","2024-07-02"
"Cereals and bakery products","Bakery products","2003-12-01","64043","2024-07-02"
"Cereals and bakery products","Bakery products","2002-11-01","63517","2024-07-02"
"Cereals and bakery products","Bakery products","2002-12-01","63308","2024-07-02"
"Cereals and bakery products","Bakery products","2002-10-01","62882","2024-07-02"
"Cereals and bakery products","Bakery products","2001-12-01","60940","2024-07-02"
"Cereals and bakery products","Bakery products","2001-11-01","60156","2024-07-02"
"Cereals and bakery products","Bakery products","2001-10-01","60016","2024-07-02"
"Cereals and bakery products","Bakery products","2000-12-01","56206","2024-07-02"
"Cereals and bakery products","Bakery products","2000-11-01","55328","2024-07-02"
"Cereals and bakery products","Bakery products","2000-10-01","55228","2024-07-02"
"Cereals and bakery products","Bakery products","1999-12-01","52674","2024-07-02"
"Cereals and bakery products","Bakery products","1999-11-01","50451","2024-07-02"
"Cereals and bakery products","Bakery products","1999-09-01","49993","2024-07-02"
"Cereals and bakery products","Bakery products","1998-12-01","46490","2024-07-02"
"Cereals and bakery products","Bakery products","1998-11-01","45921","2024-07-02"
"Cereals and bakery products","Bakery products","1998-10-01","45528","2024-07-02"
"Cereals and bakery products","Bakery products","1997-11-01","41094","2024-07-02"
"Cereals and bakery products","Bakery products","1997-10-01","40957","2024-07-02"
"Cereals and bakery products","Bakery products","1997-09-01","40955","2024-07-02"
"Cereals and bakery products","Bakery products","1996-12-01","40275","2024-07-02"
"Cereals and bakery products","Bakery products","1996-11-01","40099","2024-07-02"
"Cereals and bakery products","Bakery products","1996-10-01","39967","2024-07-02"
"Cereals and bakery products","Bakery products","1995-12-01","38168","2024-07-02"
"Cereals and bakery products","Bakery products","1995-11-01","37642","2024-07-02"
"Cereals and bakery products","Bakery products","1995-10-01","37511","2024-07-02"
"Cereals and bakery products","Bakery products","1994-12-01","36718","2024-07-02"
"Cereals and bakery products","Bakery products","1994-11-01","36562","2024-07-02"
"Cereals and bakery products","Bakery products","1994-10-01","36488","2024-07-02"
"Cereals and bakery products","Bakery products","1993-12-01","34776","2024-07-02"
"Cereals and bakery products","Bakery products","1993-11-01","34566","2024-07-02"
"Cereals and bakery products","Bakery products","1993-10-01","34348","2024-07-02"
"Cereals and bakery products","Bakery products","1992-12-01","33247","2024-07-02"
"Cereals and bakery products","Bakery products","1992-10-01","33160","2024-07-02"
"Cereals and bakery products","Bakery products","1992-11-01","33133","2024-07-02"
"Cereals and bakery products","Bakery products","1991-05-01","32942","2024-07-02"
"Cereals and bakery products","Bakery products","1991-06-01","32751","2024-07-02"
"Cereals and bakery products","Bakery products","1991-07-01","32670","2024-07-02"
"Cereals and bakery products","Bakery products","1990-09-01","32093","2024-07-02"
"Cereals and bakery products","Bakery products","1990-11-01","31967","2024-07-02"
"Cereals and bakery products","Bakery products","1990-08-01","31724","2024-07-02"
"Cereals and bakery products","Bakery products","1989-12-01","30531","2024-07-02"
"Cereals and bakery products","Bakery products","1989-11-01","30123","2024-07-02"
"Cereals and bakery products","Bakery products","1989-09-01","29907","2024-07-02"
"Cereals and bakery products","Bakery products","1988-11-01","28422","2024-07-02"
"Cereals and bakery products","Bakery products","1988-12-01","28314","2024-07-02"
"Cereals and bakery products","Bakery products","1988-10-01","28227","2024-07-02"
"Cereals and bakery products","Bakery products","1987-12-01","26489","2024-07-02"
"Cereals and bakery products","Bakery products","1987-11-01","26314","2024-07-02"
"Cereals and bakery products","Bakery products","1987-10-01","26271","2024-07-02"
"Cereals and bakery products","Bakery products","1986-01-01","26622","2024-07-02"
"Cereals and bakery products","Bakery products","1986-02-01","26252","2024-07-02"
"Cereals and bakery products","Bakery products","1986-03-01","26133","2024-07-02"
"Cereals and bakery products","Bakery products","1985-12-01","26732","2024-07-02"
"Cereals and bakery products","Bakery products","1985-11-01","26679","2024-07-02"
"Cereals and bakery products","Bakery products","1985-09-01","26651","2024-07-02"
"Cereals and bakery products","Bakery products","1984-11-01","25664","2024-07-02"
"Cereals and bakery products","Bakery products","1984-12-01","25550","2024-07-02"
"Cereals and bakery products","Bakery products","1984-09-01","25468","2024-07-02"
"Cereals and bakery products","Bakery products","1982-10-01","24504","2024-07-02"
"Cereals and bakery products","Bakery products","1982-07-01","24416","2024-07-02"
"Cereals and bakery products","Bakery products","1982-12-01","24391","2024-07-02"
"Cereals and bakery products","Bakery products","1983-12-01","23670","2024-07-02"
"Cereals and bakery products","Bakery products","1983-11-01","23669","2024-07-02"
"Cereals and bakery products","Bakery products","1983-02-01","23603","2024-07-02"
"Cereals and bakery products","Bakery products","1981-12-01","23176","2024-07-02"
"Cereals and bakery products","Bakery products","1981-11-01","22858","2024-07-02"
"Cereals and bakery products","Bakery products","1981-10-01","22858","2024-07-02"
"Cereals and bakery products","Bakery products","1980-12-01","22000","2024-07-02"
"Cereals and bakery products","Bakery products","1980-11-01","21849","2024-07-02"
"Cereals and bakery products","Bakery products","1980-10-01","21778","2024-07-02"
"Cereals and bakery products","Bakery products","1979-12-01","20077","2024-07-02"
"Cereals and bakery products","Bakery products","1979-11-01","20066","2024-07-02"
"Cereals and bakery products","Bakery products","1979-10-01","19600","2024-07-02"
"Cereals and bakery products","Bakery products","1978-12-01","17442","2024-07-02"
"Cereals and bakery products","Bakery products","1978-11-01","17150","2024-07-02"
"Cereals and bakery products","Bakery products","1978-09-01","16869","2024-07-02"
"Cereals and bakery products","Bakery products","1977-11-01","16517","2024-07-02"
"Cereals and bakery products","Bakery products","1977-12-01","16192","2024-07-02"
"Cereals and bakery products","Bakery products","1977-10-01","16098","2024-07-02"
"Cereals and bakery products","Bakery products","1976-12-01","15673","2024-07-02"
"Cereals and bakery products","Bakery products","1976-10-01","15614","2024-07-02"
"Cereals and bakery products","Bakery products","1976-08-01","15506","2024-07-02"
"Cereals and bakery products","Bakery products","1975-11-01","14773","2024-07-02"
"Cereals and bakery products","Bakery products","1975-12-01","14772","2024-07-02"
"Cereals and bakery products","Bakery products","1975-08-01","14723","2024-07-02"
"Cereals and bakery products","Bakery products","1974-11-01","13651","2024-07-02"
"Cereals and bakery products","Bakery products","1974-12-01","13468","2024-07-02"
"Cereals and bakery products","Bakery products","1974-10-01","13404","2024-07-02"
"Cereals and bakery products","Bakery products","1973-12-01","11219","2024-07-02"
"Cereals and bakery products","Bakery products","1973-11-01","10963","2024-07-02"
"Cereals and bakery products","Bakery products","1973-10-01","10773","2024-07-02"
"Cereals and bakery products","Bakery products","2021-01-01","105334","2024-07-02"
"Cereals and bakery products","Bakery products","1972-10-01","10224","2024-07-02"
"Cereals and bakery products","Bakery products","1972-11-01","10185","2024-07-02"
"Cereals and bakery products","Bakery products","1972-12-01","10169","2024-07-02"
"Cereals and bakery products","Bakery products","1971-12-01","9486","2024-07-02"
"Cereals and bakery products","Bakery products","1971-11-01","9364","2024-07-02"
"Cereals and bakery products","Bakery products","1971-10-01","9308","2024-07-02"
"Cereals and bakery products","Bakery products","1970-12-01","8726","2024-07-02"
"Cereals and bakery products","Bakery products","1970-11-01","8471","2024-07-02"
"Cereals and bakery products","Bakery products","1970-01-01","8378","2024-07-02"
"Cereals and bakery products","Bakery products","1969-10-01","8275","2024-07-02"
"Cereals and bakery products","Bakery products","1969-12-01","8247","2024-07-02"
"Cereals and bakery products","Bakery products","1969-11-01","8245","2024-07-02"
"Cereals and bakery products","Bakery products","1968-11-01","8015","2024-07-02"
"Cereals and bakery products","Bakery products","1968-12-01","7900","2024-07-02"
"Cereals and bakery products","Bakery products","1968-08-01","7897","2024-07-02"
"Cereals and bakery products","Bakery products","1967-12-01","7525","2024-07-02"
